DBID,Name/Model,Era,Year,Technology Base,Chassis,Rules Level (Current),Tonnage,Designer,Battle Value,Cost,Rating
1150,Crab CRB-30,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal (Extinct),50,Catalyst Game Labs,1509,9987875,2.625
2727,Crab CRB-30X,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,50,ChronicRune,1661,9744500,-----
5751,Crab CRB-31,Jihad,3075,Inner Sphere,Biped,Tournament Legal,50,Alisa Wolfstein,1634,9264750,-----
1592,Crab CRB-40,Civil War,3062,Inner Sphere,Biped,Tournament Legal,50,StarRaven,1561,8771000,2.75
3882,Crab CRB-45,Jihad,3070,Inner Sphere,Biped,Tournament Legal (Extinct),50,Catalyst Game Labs,1342,10665000,-----
1853,Crab CRB-45,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal (Extinct),50,Blackhand,1447,5928875,4
767,Crab CRB-C,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,50,Catalyst Game Labs,1135,4365875,2.25
6461,Crab II (Black Watch) CRB-10Rb,Star League,2765,Inner Sphere,Biped,Tournament Legal,50,WC65nelson,1497,8630000,-----
1906,Crab IIC,Civil War,3067,Inner Sphere,Biped,Tournament Legal,50,Kalo Osis,1434,9306000,2
2761,Crab IIC-A,Civil War,3067,Clan,Biped,Tournament Legal,50,ChronicRune,2496,10341000,-----
2120,Craven Prime,Civil War,3067,Clan,Biped,Advanced,100,bpm49er,2595,88530000,0
6045,Cricket,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,25,Deathloc,671,1985417,-----
3246,Crimson Hawk,Jihad,3071,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1285,3134167,-----
4477,Crimson Hawk 2,Jihad,3073,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1271,3259167,-----
4478,Crimson Hawk 3,Jihad,3073,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1029,3377917,-----
4878,Crimson Hawk 4,Republic,3099,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1372,3105729,-----
2679,Crimson Langur A,Civil War,3065,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,2003,13536875,3.9
2680,Crimson Langur B,Civil War,3065,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,2210,14565313,3.375
2681,Crimson Langur C,Civil War,3065,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,1437,13262188,1.428571
4336,Crimson Langur D,Jihad,3068,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,1867,13911875,-----
4337,Crimson Langur E,Jihad,3068,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,2051,16552813,-----
2678,Crimson Langur PRIME,Civil War,3065,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,1952,13986875,3.416667
2677,Crimson Langur [BASE],Civil War,3065,Clan,Biped,Tournament Legal,50,Catalyst Game Labs,842,12387500,-----
6497,Crockett (BRAVO 332) CRK-5003-1 Claude,Civil War,3067,Clan,Biped,Tournament Legal,85,khanwolverine,2665,9221325,-----
61,Crockett CRK-5003-0,Early Succession Wars,2881,Inner Sphere,Biped,Introductory,85,Catalyst Game Labs,1704,7334325,3.6
428,Crockett CRK-5003-1,Star League,2735,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1923,8222325,3.214286
2945,Crockett CRK-5003-1b,Star League,2752,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2307,8464675,-----
3904,Crockett CRK-5003-3,Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1989,8305575,-----
3905,Crockett CRK-5004-1,Civil War,3063,Inner Sphere,Biped,Tournament Legal (Extinct),85,Catalyst Game Labs,1955,9628325,-----
3906,Crockett CRK-5005-1,Jihad,3070,Inner Sphere,Biped,Tournament Legal (Extinct),85,Catalyst Game Labs,1908,16502925,-----
5111,Crocodilos KR-0K,Civil War,3067,Inner Sphere,Biped,Tournament Legal,60,Ian Wagner,1777,11245360,-----
967,Cronus CNS-3M,Late Succession Wars,3031,Inner Sphere,Biped,Introductory,55,Catalyst Game Labs,1339,4854807,4
966,Cronus CNS-5M,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1579,12567478,3.333333
4281,Cronus CNS-TD9,Jihad,3072,Inner Sphere,Biped,Advanced (Extinct),55,Catalyst Game Labs,978,16168050,-----
2394,Crossbow A,Early Succession Wars,2870,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1797,8063000,1.4
2395,Crossbow B,Early Succession Wars,2870,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1687,8186750,2.166667
2656,Crossbow C,Civil War,3063,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1557,8245531,2
5251,Crossbow CBW-1X,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,40,hughewil,1002,3577560,-----
3275,Crossbow CRS-6B,Age of War,2473,Inner Sphere,Biped,Introductory,60,Catalyst Game Labs,1210,5174400,-----
4417,Crossbow CRS-6C,Age of War,2481,Inner Sphere,Biped,Introductory,60,Catalyst Game Labs,1204,5110400,-----
4418,Crossbow CRS-9A,Jihad,3071,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1583,5686400,-----
4043,Crossbow CRS-X,Age of War,2468,Primitive,Biped,Advanced (Extinct),60,Catalyst Game Labs,969,4690400,-----
3691,Crossbow D,Civil War,3064,Clan,Biped,Advanced,65,Catalyst Game Labs,1154,7485500,-----
3692,Crossbow E,Jihad,3072,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1558,7554594,-----
2657,Crossbow H,Clan Invasion,3061,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1707,8356906,2.166667
2393,Crossbow PRIME,Early Succession Wars,2870,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1829,8640500,2
4850,Crossbow U,Jihad,3077,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,1856,8753937,-----
2392,Crossbow [BASE],Early Succession Wars,2870,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,958,6977094,-----
6442,"CROSSPIDER (""POP"") CRR-J7",Civil War,3067,Inner Sphere,Quad,Tournament Legal,50,Max The Mad Mechhead,1500,13765000,-----
1774,Crusader CDR-5K,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,65,Blackhand,1492,5999510,4
5726,Crusader CDR-5KBX,Republic,3092,Inner Sphere (Mixed),Biped,Advanced,65,Kylo Kruis,2006,7459760,-----
1987,Crusader CRD 3L2,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,65,Starbuck,1465,5989610,2
1574,Crusader CRD-17,Star League,2750,Inner Sphere,Biped,Tournament Legal,65,mud,1456,6448310,3.25
4374,Crusader CRD-2R,Star League,2649,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1533,6098510,-----
98,Crusader CRD-3D,Star League,2756,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1338,5471510,3.111111
99,Crusader CRD-3K,Star League,2765,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1290,5296610,2.571429
100,Crusader CRD-3L,Star League,2753,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1297,5577110,2.555556
3019,Crusader CRD-3L-B,Jihad,3070,Inner Sphere,Biped,Tournament Legal,65,Vagabond,1578,7050560,-----
101,Crusader CRD-3R,Star League,2752,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1317,5540810,3.318182
4660,Crusader CRD-3R (Crael),Late Succession Wars,3040,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1204,5253050,-----
4661,Crusader CRD-4BR,Clan Invasion,3054,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1407,5590310,-----
366,Crusader CRD-4D,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1309,5385710,3
367,Crusader CRD-4K,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1268,5356010,2.2
1004,Crusader CRD-5K,Civil War,3063,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1463,12276110,2.7
1708,Crusader CRD-5L,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,65,Seraph,1539,12018710,4.5
368,Crusader CRD-5M,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1408,11709335,2.3
369,Crusader CRD-5S,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1446,5792105,3.9
4662,Crusader CRD-6M,Jihad,3074,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1373,10904025,-----
1005,Crusader CRD-7L,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1749,6277260,3.083333
3978,Crusader CRD-7W,Jihad,3071,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1221,12428900,-----
3393,Crusader CRD-8L,Jihad,3083,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1701,14334760,-----
1006,Crusader CRD-8S,Civil War,3066,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1698,12051710,2
5590,Crusader CRU-5SR,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,65,Marcus Smythe,1525,12109873,-----
6456,Crusader II (Black Watch) CRD-2Rb,Star League,2759,Inner Sphere,Biped,Tournament Legal,65,WC65nelson,1444,11960960,-----
3141,Cudgel CDG-1B,Clan Invasion,3053,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1347,22749720,-----
2792,Cudgel CDG-2A,Civil War,3066,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1750,22472970,-----
3142,Cudgel CDG-2B,Jihad,3068,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1762,22441920,-----
2958,Cuirass CDR-1X,Republic,3086,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,1301,6993280,-----
4900,Cuirass CDR-2BC3,Republic,3119,Inner Sphere,Biped,Advanced,40,Catalyst Game Labs,990,8358630,-----
4901,Cuirass CDR-2X,Dark Age,3134,Inner Sphere,Biped,Advanced,40,Catalyst Game Labs,1226,7427280,-----
4575,Cyclops (Deathspeaker),Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,90,Scthetricky,1488,9468460,-----
6320,Cyclops (Imperial Brawler) CP-10-Z1,Clan Invasion,3061,Clan,Biped,Tournament Legal,90,khanwolverine,2825,23469560,-----
6279,Cyclops (Imperial) CP-10-Zc,Clan Invasion,3061,Clan,Biped,Advanced,90,khanwolverine,2806,24202960,-----
6655,Cyclops CP-10-FZP,Star League,2710,Inner Sphere,Biped,Introductory,90,Stonebreaker,1553,8862360,-----
4086,Cyclops CP-10-HQ,Star League,2753,Inner Sphere,Biped,Advanced,90,Catalyst Game Labs,1113,9420960,-----
65,Cyclops CP-10-Q,Early Succession Wars,2801,Inner Sphere,Biped,Introductory,90,Catalyst Game Labs,1584,8869960,2.25
66,Cyclops CP-10-Z,Star League,2710,Inner Sphere,Biped,Introductory,90,Catalyst Game Labs,1317,9033360,2.954545
438,Cyclops CP-11-A,Late Succession Wars,3045,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1547,9033360,3.1
6134,"Cyclops CP-11-A ""Custom""",Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,90,SamTheMan321,2209,22912860,-----
3852,Cyclops CP-11-A-DC,Late Succession Wars,3045,Inner Sphere,Biped,Advanced,90,Catalyst Game Labs,1507,9979560,-----
4831,Cyclops CP-11-B,Jihad,3071,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,2145,8626760,-----
439,Cyclops CP-11-C,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1553,11731360,3.75
4832,Cyclops CP-11-C2,Jihad,3073,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1534,15094360,-----
4833,Cyclops CP-11-C3,Jihad,3077,Inner Sphere,Biped,Advanced,90,Catalyst Game Labs,1752,15238760,-----
1233,Cyclops CP-11-G,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1981,10040360,3.333333
1087,Cyclops CP-11-H,Civil War,3064,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1525,9637560,0.722222
1234,Cyclops CP-12-K,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1699,9918760,3.166667
2765,Cyclops CP-13-A,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,90,ChronicRune,2215,18818360,-----
2728,Cyclops CP-13-L,Late Succession Wars,3025,Inner Sphere,Biped,Tournament Legal,90,ChronicRune,1900,10255060,-----
5752,Cyclops CP-15-A,Jihad,3077,Inner Sphere,Biped,Tournament Legal,90,Alisa Wolfstein,2316,9211960,-----
3105,Cyclops CP-30-HQ2,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,90,Stinger,1775,9090360,-----
5840,Cyclops CP-77x,Dark Age,3150,Inner Sphere,Biped,Tournament Legal,90,Stinger,1773,10971360,-----
6574,Cyclops CY-6-98,Clan Invasion,3061,Inner Sphere,Biped,Advanced,90,Reconius,1728,19847400,-----
2249,Cyclops II,Star League,2750,Inner Sphere,Biped,Tournament Legal,90,master arminas,1739,10266460,2
6421,Cyclops II (Black Watch) CP-10-Zbw,Star League,2765,Inner Sphere,Biped,Tournament Legal,90,WC65nelson,1641,22304860,-----
3260,Cygnus,Jihad,3075,Clan,Biped,Tournament Legal,95,Catalyst Game Labs,2583,25366900,-----
4481,Cygnus 2,Jihad,3075,Clan,Biped,Tournament Legal,95,Catalyst Game Labs,3361,26432575,-----
4482,Cygnus 3,Jihad,3075,Clan,Biped,Tournament Legal,95,Catalyst Game Labs,2569,26752375,-----
5156,Cygnus 4,Republic,3090,Clan,Biped,Tournament Legal,95,Catalyst Game Labs,2570,27029275,-----
4921,Cyllaros,Dark Age,3136,Clan,QuadVee,Advanced,55,Catalyst Game Labs,1450,8891187,-----
1833,Cypher CPR-1,Clan Invasion,3050,Inner Sphere,Quad,Tournament Legal,40,Warhammer: 3025,1131,4130000,3.25
3204,Daboku DCMS-MX90-D,Late Succession Wars,3038,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1290,7894500,2
4851,Daboku II ((Mauler)) MAL-MX100,Civil War,3067,Inner Sphere,Biped,Tournament Legal (Extinct),90,Khayman,2074,10742600,-----
5768,Dacite DC-1-TE,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,2334,10872000,-----
5774,Dacite DC-1a-TE,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,2386,10720000,-----
5773,Dacite DC-2-TE,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,2429,10998500,-----
5775,Dacite DC-3-TE,Civil War,3064,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,2502,11236000,-----
3130,Daedalus DAD-3C,Clan Invasion,3053,Inner Sphere,Biped,Tournament Legal,45,Catalyst Game Labs,1070,8113983,-----
2787,Daedalus DAD-3D,Civil War,3062,Inner Sphere,Biped,Tournament Legal,45,Catalyst Game Labs,1729,9336695,-----
3131,Daedalus DAD-4A,Civil War,3064,Inner Sphere,Biped,Advanced,45,Catalyst Game Labs,1466,12874695,-----
3132,Daedalus DAD-4B,Civil War,3067,Inner Sphere,Biped,Advanced,45,Catalyst Game Labs,1431,11926395,-----
1261,Dagon DAG-01,Clan Invasion,3057,Clan,Biped,Tournament Legal,100,ralgith,3218,23562000,3.25
650,Daikyu DAI-01,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1603,16086307,3.5
3649,Daikyu DAI-01 (Tabitha),Civil War,3064,Inner Sphere (Mixed),Biped,Tournament Legal,70,Catalyst Game Labs,1804,16273307,-----
4811,Daikyu DAI-01r,Jihad,3076,Inner Sphere,Biped,Advanced,70,Catalyst Game Labs,1513,17096107,-----
1195,Daikyu DAI-02,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1831,17038307,3.125
3006,Daikyu DAI-03,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1692,15847740,-----
541,Daimyo DMO-1K,Clan Invasion,3053,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,1148,3189947,3.25
3620,Daimyo DMO-1K2 (al-Shahab),Civil War,3066,Inner Sphere,Biped,Advanced,40,Catalyst Game Labs,1332,7502880,-----
745,Daimyo DMO-2K,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,1057,3066747,2.5
746,Daimyo DMO-4K,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,1150,3167547,3
2980,Daimyo DMO-5K,Civil War,3062,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,1087,5177947,-----
2624,"Daishi (Dire Wolf) ""Prometheus""",Clan Invasion,3051,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2900,29007500,3.6
2528,"Daishi (Dire Wolf) ""Widowmaker""",Clan Invasion,3050,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3041,29178125,4.538462
2623,Daishi (Dire Wolf) (Hohiro),Clan Invasion,3051,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3048,28410625,4.4
2526,Daishi (Dire Wolf) A,Late Succession Wars,3010,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2855,28290000,4.8125
2527,Daishi (Dire Wolf) B,Late Succession Wars,3010,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2609,29303125,2.9375
2675,Daishi (Dire Wolf) C,Clan Invasion,3054,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3610,29157500,4.1
3173,Daishi (Dire Wolf) D,Jihad,3069,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3403,28903125,-----
5184,Daishi (Dire Wolf) E,Republic,3103,Clan,Biped,Advanced,100,Catalyst Game Labs,2814,31067500,-----
2622,Daishi (Dire Wolf) H,Clan Invasion,3059,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2992,28318750,3.25
2525,Daishi (Dire Wolf) PRIME,Late Succession Wars,3010,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2712,29230000,4.4
2625,Daishi (Dire Wolf) S,Clan Invasion,3050,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2985,28970000,4.428571
4857,Daishi (Dire Wolf) U,Jihad,3077,Clan,Biped,Advanced,100,Catalyst Game Labs,3360,30525000,-----
3174,Daishi (Dire Wolf) W,Late Succession Wars,3049,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2951,28628125,-----
3871,Daishi (Dire Wolf) X,Clan Invasion,3060,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2645,29000000,-----
2487,Daishi (Dire Wolf) [BASE],Late Succession Wars,3010,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,1277,24900000,-----
1263,Daishi Dragon Slayer,Clan Invasion,3053,Clan,Biped,Tournament Legal,100,ralgith,3402,23112500,3.416667
1350,Daishi J,Clan Invasion,3059,Clan,Biped,Tournament Legal,100,ralgith,2940,23490000,3.1
1653,Daishi P,Clan Invasion,3050,Clan,Biped,Tournament Legal,100,jymset,2873,22203000,4.4
1384,Daishi Wc,Civil War,3067,Clan,Biped,Tournament Legal,100,StarRaven,3834,23382000,2.75
2730,Daishi White Wolf,Clan Invasion,3050,Clan,Biped,Tournament Legal,100,ChronicRune,3217,28840000,-----
1689,Daishi ZX,Clan Invasion,3059,Clan,Biped,Tournament Legal,100,ralgith,3089,23214500,3.833333
2137,Damocles DCS-4G,Star League,2750,Inner Sphere,Biped,Tournament Legal,75,Warhammer: 3025,1713,7199500,4.416667
2036,Dao Dao-X1,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,40,Looter,1269,7618893,1.833333
1489,Dark Adder A,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,#NAME?,1641,6163110,3.25
1495,Dark Adder AA,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,#NAME?,909,5836410,2.166667
1493,Dark Adder B,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,#NAME?,1386,6349410,2.666667
1494,Dark Adder C,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,#NAME?,1658,6183360,3
1500,Dark Adder D,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,mud,1780,6295410,3
2032,Dark Adder E,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,mud,1816,6221160,3
1490,Dark Adder Prime,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,#NAME?,2185,6569460,3.375
3357,Dark Crow,Jihad,3084,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,1594,11729625,-----
4569,Dark Crow 2,Jihad,3084,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,1575,11840063,-----
4570,Dark Crow 3,Jihad,3084,Clan,Biped,Advanced,55,Catalyst Game Labs,1681,42983980,-----
4568,Dark Crow 4,Republic,3087,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,1538,11745125,-----
1751,Dark Helmet DH-L,Late Succession Wars,3033,Inner Sphere,Biped,Introductory,30,Erenon,760,2078700,3.083333
1713,Dark Locust D-LCT-1A,Civil War,3067,Inner Sphere,Biped,Tournament Legal,20,Karl Hendricks,432,1477800,0.6875
5542,Dark Wolf K2,Republic,3121,Inner Sphere (Mixed),Quad,Tournament Legal (Extinct),65,Alisa Wolfstein,2011,17281000,-----
451,Dart DRT-3S,Clan Invasion,3051,Inner Sphere,Biped,Tournament Legal,25,Catalyst Game Labs,436,2183750,1.285714
512,Dart DRT-4S,Clan Invasion,3053,Inner Sphere,Biped,Introductory,25,Catalyst Game Labs,656,2273750,2.5
513,Dart DRT-6S,Clan Invasion,3053,Inner Sphere,Biped,Tournament Legal,25,Catalyst Game Labs,641,2292500,2.7
4703,Dart DRT-6T,Jihad,3077,Inner Sphere,Biped,Tournament Legal,25,Catalyst Game Labs,703,3344063,-----
3981,Dasher (Fire Moth) (Aletha),Jihad,3068,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,1388,4178425,-----
2437,Dasher (Fire Moth) A,Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,639,4337800,2.25
2438,Dasher (Fire Moth) B,Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,1064,4100050,1.85
2439,Dasher (Fire Moth) C,Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,741,3992800,2.041667
6526,Dasher (Fire Moth) Custom - D,Clan Invasion,3050,Clan,Biped,Tournament Legal,20,SamTheMan321,1778,3267740,-----
2440,Dasher (Fire Moth) D,Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,2307,4154050,3.227273
2626,Dasher (Fire Moth) E,Clan Invasion,3055,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,822,3790300,2.083333
3146,Dasher (Fire Moth) F,Jihad,3070,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,1461,4303900,-----
4872,Dasher (Fire Moth) G,Republic,3098,Clan,Biped,Advanced,20,Catalyst Game Labs,2041,7742800,-----
2550,Dasher (Fire Moth) H,Clan Invasion,3060,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,779,3821800,2.642857
3147,Dasher (Fire Moth) K,Jihad,3071,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,887,3959050,-----
2436,Dasher (Fire Moth) PRIME,Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,1251,4127800,2.75
2435,Dasher (Fire Moth) [BASE],Early Succession Wars,2874,Clan,Biped,Tournament Legal,20,Catalyst Game Labs,273,3520000,-----
1859,Dasher HL,Civil War,3062,Clan,Biped,Tournament Legal,20,cain,1004,3128000,2
3354,Dasher II,Jihad,3077,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,522,8633893,-----
4559,Dasher II 2,Jihad,3084,Clan,Biped,Advanced,40,Catalyst Game Labs,2239,34305227,-----
4902,Dasher II 3,Dark Age,3136,Clan (Mixed),Biped,Tournament Legal,40,Catalyst Game Labs,1496,7914667,-----
4903,Dasher II 4,Dark Age,3136,Clan (Mixed),Biped,Advanced,40,Catalyst Game Labs,1749,26780997,-----
2291,Death Rattle Mk XXX Mod SV,Clan Invasion,3050,Clan,Biped,Tournament Legal,30,master arminas,1369,6087640,-----
2066,Death Scyth XJ-921-IS,Jihad,3085,Inner Sphere,Biped,Tournament Legal,100,Vagabond,2115,11074000,4
5364,Death Scyth XJ-922-IS,Republic,3105,Inner Sphere (Mixed),Biped,Advanced,100,Vagabond,2837,20976000,-----
5363,Deathless DTLS-1B,Dark Age,3150,Inner Sphere,Biped,Advanced,175,Stinger,3014,38454167,-----
5245,Decimator DCM-X-10,Jihad,3085,Inner Sphere,Biped,Tournament Legal,100,Kylo Kruis,2378,9280667,1.5
3092,Defiance 3P,Jihad,3085,Inner Sphere,Biped,Tournament Legal,75,ChronicRune,2120,17438750,-----
3091,Defiance 3Q,Jihad,3085,Inner Sphere,Biped,Tournament Legal,75,ChronicRune,2269,18404750,-----
3090,Defiance 3R,Jihad,3085,Inner Sphere,Biped,Tournament Legal,75,ChronicRune,2030,15144500,-----
4469,Defiance DFN-3C,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1817,19415375,-----
3234,Defiance DFN-3S,Jihad,3074,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1940,15171625,-----
4470,Defiance DFN-3T,Jihad,3074,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1981,14821625,-----
4595,Deimos 2,Jihad,3084,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2394,23317708,-----
2851,Deimos A,Republic,3085,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2785,24555281,-----
2852,Deimos B,Republic,3085,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2965,24162156,-----
2853,Deimos C,Republic,3086,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2737,25295281,-----
5108,Deimos D,Republic,3119,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2682,24134406,-----
5109,Deimos E,Dark Age,3140,Clan (Mixed),Biped,Advanced,85,Catalyst Game Labs,3620,29850906,-----
2850,Deimos Prime,Republic,3085,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2188,23255656,-----
3623,Deimos S,Republic,3086,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2664,24833013,-----
2849,Deimos [BASE],Clan Invasion,3050,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,1306,20318781,-----
6391,Der Butterweck,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Skarotte,1876,7016353,-----
6407,Der Butterweck (2),Civil War,3067,Inner Sphere,Biped,Tournament Legal,85,Skarotte,2171,16755080,-----
6408,Der Butterweck (2) 2100,Civil War,3067,Inner Sphere,Biped,Tournament Legal,85,Skarotte,2103,17062180,-----
6222,Derringer DRN-1R,Early Succession Wars,2900,Inner Sphere,Biped,Tournament Legal,20,Deathloc,500,1697400,-----
6386,Dervish (PAPA) DV-6MC,Civil War,3067,Clan,Biped,Tournament Legal,55,khanwolverine,2502,11397667,-----
5072,Dervish (Randis Special) DV-6-MB1C,Jihad,3071,Inner Sphere,Biped,Tournament Legal,55,Baldur Mekorig,1270,5316707,-----
2775,Dervish DV-10A,Civil War,3062,Inner Sphere,Biped,Tournament Legal,55,ChronicRune,1639,10520367,-----
